text,hashtags,placename,"Sit == True  (1), else (0)","Relevant == True (1), else (0)"
"b""@CrysParks I'm getting lit while waiting for dude to come over for a few hours before work""",,"Oshawa, Ontario",,
"b""If you're looking for work in #Toronto, ON, check out this #job: https://t.co/Qf09hCSpgs #ProjectMgmt #Hiring #CareerArc""","Toronto,job,ProjectMgmt,Hiring,CareerArc","Toronto, Ontario",,
"b'Click the link to view a Short video on what inspires my work, Who Is the Artist Taslim Samji #ContemporaryArt\\u2026 https://t.co/mSc1hxDJ9B'",ContemporaryArt,"Burnaby, British Columbia",,
"b""@breakaway23 lol I don't even know how those ratings work. I'm assuming it's out of 100 and like a QB rating in football.""",,"Prince, Prince Edward Island",,
b'I just watched a full HC basketball practice while doing cardio and I feel emotionally invested in this team now. We in this together fam.',,"Charlottetown, Prince Edward Island",,
"b""@jstagrlwithacat Thanks! It's really cool to see what ideas people come up with for custom work.""",,"Tsawwassen, British Columbia",,
b'This is the best day any nba player has ever had https://t.co/CKQTE67GBM',,"Hamilton, Ontario",,
"b""Want to work at Starbucks? We're #hiring in #Montreal, QC! Click for details: https://t.co/T21C8kOpzb #CustomerService #Job #Jobs""","hiring,Montreal,CustomerService,Job,Jobs","Montr̩al, Qu̩bec",,
b'I work at 10:30 and I\\u2019m not even thinking about getting ready.',,"Cape Breton, Nova Scotia",,
"b""If you're looking for work in #Scarborough, ON, check out this #job: https://t.co/BxjHy2YlqC #Sales #Retail #Hiring""","Scarborough,job,Sales,Retail,Hiring","Toronto, Ontario",,
"b'@therealbradg ""I was born in the morning and I will be there at work"" God that\'s depressing.'",,"Halifax, Nova Scotia",,
"b""If you're looking for work in #Montreal, QC, check out this #job: https://t.co/CbPBsE6QRr #Engineering #Hiring #CareerArc""","Montreal,job,Engineering,Hiring,CareerArc","Montr̩al, Qu̩bec",,
b'Now if I could just find someone who would just let me go with my work I could afford living',,"Burnaby, British Columbia",,
"b""If you're looking for work in #Montreal, QC, check out this #job: https://t.co/BXxoWYjfPe #Retail #Veterans #Hiring #CareerArc""","Montreal,job,Retail,Veterans,Hiring,CareerArc","Montr̩al, Qu̩bec",,
"b""Bc it took while for me to be diagnosed &amp; bc once it was no cure &amp; treatment wasn't working - I could no end of 'alternative' sent my way""",,"Vancouver, British Columbia",,
b'what the fuck yall need to chill https://t.co/CNIuwl1Qm6',,"Leduc, Alberta",,
"b""@kelseygie lol god, yeah it's basically just this saying that you can only do a certain amount of non-RTA work but\\u2026 https://t.co/HbvLuQireX""",,"Toronto, Ontario",,
"b""@lisaloft1 I moved into my new home, it's been exhausting, no internet till reconnected, never time at work for online, quiet today. Whew.""",,"Edmonton, Alberta",,
"b""Balance itself? PMJT Big Fail: Budget watchdog says Liberals can't account for $2.5B in infrastructure funds https://t.co/rc0pkxiHjU""",,"Markham, Ontario",,
"b""@khackenschmidt Anyone supporting their actions have never worked in a professional environment, or did and didn't\\u2026 https://t.co/5VlZqHZLnP""",,"Halifax, Nova Scotia",,
"b'Fallen games for failed physics, by closet gays and chicken heads.'",,"Ottawa, Ontario",,
b'Fuck work https://t.co/qywI0PmZnp',,"Toronto, Ontario",,
"b""Want to work at Manulife? We're #hiring in #Montreal, QC! Click for details: https://t.co/BT3A97v9TG #Sales #Job #Jobs""","hiring,Montreal,Sales,Job,Jobs","Montr̩al, Qu̩bec",,
b'@evebastien X #raadrahman\\nMuah @sierrasgene \\nAgency @dulcedomodels \\n\\nI got bored of my work\\u2026 https://t.co/8ccQU08v1S',raadrahman,"Toronto, Ontario",,
"b'Zimbabwean bowlers bowled a impeccable line &amp; length to the West Indies openers, who had to work for their runs &amp; were 78 for 1 at stumps'",,"Toronto, Ontario",,
"b'Away support is inspiring. Are we all watching this game topless, folks?'",,"Milton, Ontario",,
"b'""Moms don\'t enjoy, they give joy. That\'s how being a mom works""...if you say so Christine\\u2026 https://t.co/MLgYMoDMC6'",,"Toronto, Ontario",,
b'Couldn\\u2019t be more proud of the fantastic student &amp,staff work on inclusion happening at @MHS_YRDSB ! :-) https://t.co/RHlYkXJcFj',"Richmond Hill, Ontario",,
b'@TheCrazyAsshole By talking to people who work on this.',,"Toronto, Ontario",,
b'Last night Dayna and I watched baby videos of pheeeen and some of saph',,"Toronto, Ontario",,
b'Taking a nostalgia trip and watching some Trailer Park Boys',,"Cape Breton, Nova Scotia",,
"b'This is disturbing. I booked days off work to try and buy tickets. And Hoda gets them. ""Springsteen does he play th\\u2026 https://t.co/HFXssjCEtp'",,"Toronto, Ontario",,
b'@yousuck2020 lets work on the private fashion label. International.',,"Montr̩al, Qu̩bec",,
b'Good thing we signed Polak to sit in the penalty box &amp,watch the PK. Really bolsters it.',"Toronto, Ontario",,
b'This Roman Polak experience is not working out for Mike Babcock.',,"Red Deer, Alberta",,
b'idk but napag iwanan na talaga ako ng panahon hahahaha i dont even watch hype tv shows ahahahahaha omg',,"Mississauga, Ontario",,
b'Every time I watch the #haka I feel like I can run through a wall!!!',haka,"Calgary, Alberta",,
"b'#ThorRagnarok was great! Follows the greatness of the previous 2 movies, but brings an awesome comedic aspect to it as well!'",ThorRagnarok,"Brampton, Ontario",,
"b""Don't bury yourself with so much work and end up so fatigue! We tend to take our health for\\u2026 https://t.co/goTqrmbv81""",,"Halifax, Nova Scotia",,
b'@turnipHed @urbanguyto Going down to 2. -1 with the wind chill. \\u2744\\ufe0f \\u2744\\ufe0f \\u2744\\ufe0f',,"Church-Yonge Corridor, Toronto",,
"b'@nailogical bath and body works made H\\U0001f4bfL\\U0001f4bf into a scent, they were half off so I got 2! One for me and one for my h\\U0001f4bf\\u2026 https://t.co/xm283SohBu'",,"Goderich, Ontario",,
"b""@calstampeders these last three games remind me of the dark days of 70's""",,"Lacombe County, Alberta",,
"b""I am proud to be a fucking full time member of 'I never watch the late show with Jimmy Fallon because David Letterman was 10x better.' club.""",,"Winnipeg, Manitoba",,
b'It\\u2019s the working late completed tasks sticky cocktail! Drink up! https://t.co/IDzyEXY2mE',,"Vancouver, British Columbia",,
b'I have finished watching all of Bojack Horseman.',,"Halifax, Nova Scotia",,
b'Ariana showing me her magic moves today! Loving her VFX work. Can\\u2019t wait to show you all!\\u2026 https://t.co/bE5uxWuWzu',,"Vancouver, British Columbia",,
b'@tomwdart @urbanguyto As of this moment \\u201cwind chill\\u201d is the most offensive thing someone could say to me. #justsaying',justsaying,"Toronto, Ontario",,
b'Why tweet lies when u watch someone beg for you previously lol',,"Windsor, Ontario",,
"b'Utica goes down 2-1, but Goldobin picks up an assist, has 11 pts (4g, 7a) in 9 games this season. #Canucks #AHL'","Canucks,AHL","Montr̩al, Qu̩bec",,
"b'On Davie St. before work, spotted this nice #WeAmaze sign. 2nd pic is #rainbowflag \\U0001f64f\\U0001f3fd #latepost\\u2026 https://t.co/Ja15uLszyl'","WeAmaze,rainbowflag,latepost","Vancouver, British Columbia",,
b'Literally today was grade wars and the busiest day at work like tf im ded',,"Winnipeg, Manitoba",,
b'Auction night at work and I have walked away with some treats \\U0001f917\\U0001f377#auction #wine #fun #work\\u2026 https://t.co/tqjWkpE1rj',"auction,wine,fun,work","Toronto, Ontario",,
"b""So after seeing @AngryJoeShow's review on #StrangerThings I went and got @netflix so I could watch the two seasons.""",StrangerThings,"Edmonton, Alberta",,
"b""If you're looking for work in #Ottawa, ON, check out this #job: https://t.co/e0cpawK9e8 #Hospitality #Hiring #CareerArc""","Ottawa,job,Hospitality,Hiring,CareerArc","Ottawa, Ontario",,
b'@RegionofDurham Missing our after work activities and children\\u2019s activities. Paving of Bloor street should be done outside of rush hr trains',,"Oshawa, Ontario",,
b'Brought Freddie to work today and he totally zonked out from the attention overload. https://t.co/jhgIcYg7LH',,Tantrum,,
"b""If you're looking for work in #Winnipeg, MB, check out this #job: https://t.co/LrZ2kMwS4B #Marketing #Hiring #CareerArc""","Winnipeg,job,Marketing,Hiring,CareerArc","Winnipeg, Manitoba",,
"b""Want to work at VON Canada? We're #hiring in #ChathamKent, ON! Click for details: https://t.co/k7pvbSfGZ2 #CareGiving #Job #Jobs""","hiring,ChathamKent,CareGiving,Job,Jobs","Chatham-Kent, Ontario",,
"b""Finally I can watch harry's show!!! #HarryStylesliveonTourLondon""",HarryStylesliveonTourLondon,"Laval, Qu̩bec",,
"b""Want to work at TD Bank Canada? We're #hiring in QC! Click for details: https://t.co/Qe8MUwBhP3 #InvestmentBanking #Job #Jobs #CareerArc""","hiring,InvestmentBanking,Job,Jobs,CareerArc","Baie-James, Qu̩bec",,
"b""Want to work at CGI? We're #hiring in #Ottawa, ON! Click for details: https://t.co/vDV9s2ETl1 #Job #Jobs""","hiring,Ottawa,Job,Jobs","Ottawa, Ontario",,
b'We were recently interviewed by TamTams in Montr\\xe9al! Have a watch here:\\nhttps://t.co/jy4DJHkv7x\\n\\n#Interview #GoodbyeHonolulu #TamTams #Music',"Interview,GoodbyeHonolulu,TamTams,Music","Toronto, Ontario",,
"b""If you're looking for work in #Delta, BC, check out this #job: https://t.co/SmC5zOSr3u #Marketing #Hiring #CareerArc""","Delta,job,Marketing,Hiring,CareerArc","Delta, British Columbia",,
b'Recommended Halloween movies:\\na) anything by director David DeCoteau or the recently released\\nb) PYOTR495 https://t.co/bGYJnRl0GS',,"Dollard-Des Ormeaux, Qu̩bec",,
b'Amazing fall weather so far. Getting lots of work done on course. 185 days! #whistlergolf\\u2026 https://t.co/4NZ068NWQl',whistlergolf,"Whistler, British Columbia",,
"b'Want to work in #Waterloo, ON? View our latest opening: https://t.co/T8JNSGMZjt #IT #Job #Jobs #Hiring'","Waterloo,IT,Job,Jobs,Hiring","Waterloo, Ontario",,
"b""Pleasure! Can't wait to follow all your gr8 work &amp; the change each of you will bring to the world @diviyaliveshere\\u2026 https://t.co/TzOu1QaCOu""",,"Ottawa, Ontario",,
b'Love too not get any sleep when I have work at 7am \\U0001f480\\U0001f480\\U0001f480',,"St. John's, Newfoundland and Labrador",,
b'When your DVR kicks in and boots you out of watching the 9th inning... #worldseries',worldseries,"Calgary, Alberta",,
"b'Apparently he once worked in federal politics.\\n""I call him Justina. It\'s how I get my dig at him"" he says. I seethe silently. 2/3'",,"Toronto, Ontario",,
"b""I've been to 7 bomber games this year \\u263a\\ufe0f""",,"Winnipeg, Manitoba",,
b'@jordan_couture @FeitsBarstool Its times like this where I can gladly agree because I dont work tomorrow',,"Oshawa, Ontario",,
"b'@mishabendavid I was teasing you,as no one should call anyone that!\\nAre you watching this crazy ballgame?'",,"Vaughan, Ontario",,
b'If I wasn\\u2019t watching this I would never believe it!!',,"Edmonton, Alberta",,
"b""Craziest baseball game I've ever watch. Shits WILD""",,"Pickering, Ontario",,
b'thanks body for not letting me sleep through til at least six. \\U0001f629\\n\\nguess there will be a nap after work today. \\U0001f610',,"Ottawa, Ontario",,
"b'There is a full grown man at work in a full devil costume, tiny red devil horns, long black cape and all #HappyHalloween \\U0001f47a\\U0001f479'",HappyHalloween,"Windsor, Ontario",,
b'This new diet and workout plan is going to kick my a$$ but it\\u2019s going to be so worth it in the end! \\u2705',,"New Tecumseth, Ontario",,
b'Dock work today (fri) @HolyCowCanoe https://t.co/BEBaflcO2g',,"Halton Hills, Ontario",,
"b'@Linus_Borg @nuxt_js @tailwindcss @Apply I have Mix extracting my SFC styles into my main scss file, and it works j\\u2026 https://t.co/3FHksx9FRt'",,"Toronto, Ontario",,
"b""Want to work at Mosaic? We're #hiring in #Burnaby, BC! Click for details: https://t.co/btcLWxI29E #Marketing #Job #Jobs #CareerArc""","hiring,Burnaby,Marketing,Job,Jobs,CareerArc","Burnaby, British Columbia",,
"b""#FWD50 @digiphile asking @AlexBenay some amazing questions about procurement &amp; #GovIT's ability to work with small agile project.""","FWD50,GovIT","Ottawa, Ontario",,
"b""It's Rate Budget Day here at @TorontoCouncil - watch on YouTube for Toronto Water, Solid Waste &amp; Parking recommende\\u2026 https://t.co/H0PZN8jeUi""",,"Toronto, Ontario",,
"b'@KrangTNelson Democratic socialism sure works for us in Canada and the happy folks of Nordic countries, so... Yeah :) \\u262d'",,"Saskatoon, Saskatchewan",,
"b'My watch just congratulated me for standing up to walk to the washroom, which makes me realize how much I\\u2019d enjoy a sarcastic congrats app.'",,"Toronto, Ontario",,
"b""@Rgcoppens Same. I love going to games outside when it's above zero. As soon as the temp drops though I second guess myself lol.""",,"Calgary, Alberta",,
b'@SkatingLesson Burnout? How about a super smart strategic move to focus on the games and not on exhausting internationals.',,"Edmonton, Alberta",,
b'Yesss somehow everything worked out!! \\n\\nGot everything I wanted AND I made it to work on time \\U0001f64f\\U0001f3fc',,"Brampton, Ontario",,
"b'They decided to make individual projects, but it worked well still! This was used to teach communication and buildi\\u2026 https://t.co/RgmbJoWdbh'",,"Halifax, Nova Scotia",,
"b'@saints_gambit I disagree, when you no longer have to work and you get up at 5am would be the ""know you\'re old"" marker.'",,"London, Ontario",,
b'me every morning when I wake up and realize I have to do life instead of lay in bed and watch netflix all day https://t.co/2PwsaxW6zl',,"Winnipeg, Manitoba",,
b'The thing works and doesent overheat as fast as it would normally',,"Hamilton, Ontario",,
b'Why did i just watch a YouTube video about a girl who\\u2019s boyfriend died in a car accident. Who cut an onion?',,"Ajax, Ontario",,
b'tell me why i have the biggest term paper of my life due friday and im sitting here watching reaction videos to kiwi on youtube',,"Waterloo, Ontario",,
"b'As expected, no regrets about going to workout.\\U0001f4aa\\U0001f3fc\\U0001f4aa\\U0001f3fc'",,"Edmonton, Alberta",,
"b'School, feeding the homeless and a workout! It\\u2019s been a good Wednesday'",,"Montr̩al, Qu̩bec",,
b'Bih I\\u2019m too cute for ya games',,"Toronto, Ontario",,
"b""Thing I've learnt about Lonzo Ball after the first half of watching him:\\nCan't really shoot.\\nCant really play defen\\u2026 https://t.co/V70qkAAgMi""",,"Saskatoon, Saskatchewan",,
"b'Feels odd, but I willl only watch Justice League for Gal Gadot \\U0001f929#JusticeLeague'",JusticeLeague,"Vancouver, British Columbia",,
b'Missing working with these two at Downtown Calgary! @ Civic on Third https://t.co/v5HpANwzXx',,"Calgary, Alberta",,
"b""@DavidShannonUFC whaaaaaaat i didn't know there was a new one !! i loved those movies when i was a kid""",,"Winnipeg, Manitoba",,
b'My grade 2\\u2019s love dot talks. Number sense is so important to strengthen while working through the other math strand\\u2026 https://t.co/kuc1gHnmXv',,"Milton, Ontario",,
b'@realDonaldTrump And those 70 temp foreign workers need to get to Mar-a-lago ASAP\\nRight? Chumps for Trumps? No comment?',,"New Westminster, British Columbia",,
b'Do I do my makeup just to watch spooky movies alone in bed? Yes or yes????',,"Oshawa, Ontario",,
"b""If you're looking for work in #Montreal, QC, check out this #job: https://t.co/VWoykfx8hH #CustomerService #Hiring #CareerArc""","Montreal,job,CustomerService,Hiring,CareerArc","Montr̩al, Qu̩bec",,
"b""Want to work at Starbucks? We're #hiring in #Vancouver, BC! Click for details: https://t.co/g62KWC0qds #CustomerService #Job #Jobs""","hiring,Vancouver,CustomerService,Job,Jobs","Vancouver, British Columbia",,
"b'I want to open a business called #MysteriousWays just so I can put a sign in the window that says ""Your Lord doesn\'t work here!""'",MysteriousWays,"Toronto, Ontario",,
b'When will this foolish spending stop!\\n\\nDo you have any idea how many hard working Canadians will slave away to come\\u2026 https://t.co/5PmTjl7eVm',,"Chamberlain, Saskatchewan",,
"b""Want to work at PCL Construction? We're #hiring in #Winnipeg, MB! Click for details: https://t.co/d0mtHqKALu #Estimator #Job #Jobs""","hiring,Winnipeg,Estimator,Job,Jobs","Winnipeg, Manitoba",,
"b'They hating, but I know they watching \\U0001f441'",,"Toronto, Ontario",,
"b'Landed in Vancouver this morning and I\\u2019m already watching @nathanfielder for you, does that mean I\\u2019m a local now?'",,"Vancouver, British Columbia",,
"b'@sunsetbisonsask That is actually a good idea, feed them and then set up panels around them. Would probably work. Haha'",,"Edam, Saskatchewan",,
"b""Noah fense but if Miss Carly Rae doesn't work with Stuart Price on this new disco album I don't wanna hear it https://t.co/QLqUgEu7xW""",,"North Vancouver, British Columbia",,
b'Hi @NevSchulman So watching #Catfish &amp,right before said\\u201dImagine if a Catfisher was on here to come clean?!\\u201d &amp,BOOM \\U0001f4a5 #KyaAndAlyx #Psychic\\U0001f64b\\U0001f3fb',,
"b'Actually getting to watch the Leafs tonight and boy, did they look like hot garbage in that first period.'",,"Red Deer, Alberta",,
b'Woohoo!! Proud to work for @BuildwithBinnie and the great team we have! #BBEA https://t.co/NQZYpAd5Hj',BBEA,"Burnaby, British Columbia",,
b'Video of the @twitter employee who shut down Trumps account on their last day of work https://t.co/ooZxbMrJhT',,"Calgary, Alberta",,
"b'@Wilkinson4BC Lets take a poll on how your tweet here is working out, oops, no need just read the replies lol!!\\u2026 https://t.co/j4d9Y8ZGaQ'",,"Vancouver, British Columbia",,
b'Great to see our amazing engineers making their mark at @CiscoCanada! A pleasure to work with these committed young\\u2026 https://t.co/TOWOJI8b0d',,"Toronto, Ontario",,
"b""could technically go back to sleep for an hour and a half before i have to get up for work but that's probably not gunna happen""",,"Hamilton, Ontario",,
"b""Want to work at Wine Rack? We're #hiring in #Windsor, ON! Click for details: https://t.co/y6dK9JgjFU #Sales #Retail #Job #Jobs""","hiring,Windsor,Sales,Retail,Job,Jobs","Windsor, Ontario",,
b'Making sure #KevDFoster gets the likes. #Friends please watch. https://t.co/h8ty8A5bsA',"KevDFoster,Friends","Whitchurch-Stouffville, Ontario",,
"b""@cmtcody That was indeed one of the most exciting #WorldSeries games I've watched since my Expos were in one. A loooong time ago. \\u26be\\ufe0f""",WorldSeries,"Ottawa, Ontario",,
b'I seriously wouldn\\u2019t have watched another baseball game if the #Astros lost game 5! #stressedout',"Astros,stressedout","Springfield, Manitoba",,
b'I will never get tired of watching Philip Rivers freak out when the chargers lose \\U0001f602',,"Toronto, Ontario",,
b'It is great! Only works for the 1st paired cell though. If I\\u2019m 2nd in vehicle even if I\\u2019m driving it\\u2019s not locked. https://t.co/1f9uxfA1tK',,"Edmonton, Alberta",,
b'@BradT2032 Probably political. Or maybe her out of the box thinking worked to the advantage of The Resistance. Mayb\\u2026 https://t.co/3jdWDhG66s',,"Toronto, Ontario",,
"b'No Italy, No Armenia, No Canada, No Greece, No need to watch the world cup btw i could\\u2019ve sworn Uganda Qualified wh\\u2026 https://t.co/udMg7hSufd'",,"Hamilton, Ontario",,
"b""I will be watching @PTXofficial on Nov. 27th since I didn't get to see them tonight in Toronto.\\nhttps://t.co/Ye1ef0DI1h""",,"Mississauga, Ontario",,
"b""@TristinHopper Don't forget to get in on Bitcoin! It sounds dodgy but trust me, it's going to work""",,"Ontario, Canada",,
"b'for someone who\\u2019s working overnight, i really lack sleep bigtime'",,"Toronto, Ontario",,
"b'@VadaPenullar Yeah \\U0001f622 plus i work weekends, i barely have time to breathe \\U0001f605'",,"Toronto, Ontario",,
"b""Still working \\U0001f913 It's almost my birthday (EST) \\U0001f604 https://t.co/hED45D8wkc""",,"Vaughan, Ontario",,
b'@realemilyattack carly rae jepsen is the only SSRI that works and she\\u2019s accessible 2 everyone',,"Toronto, Ontario",,
"b'@realDonaldTrump Similar,but needs work on his form.Has to be done in one single motion &amp; eyes should never leave t\\u2026 https://t.co/sfkjTU1RoA'",,"Niagara Falls, Ontario",,
b'Playing stage Mom while this guy films videos about tech at @HBKidsHospital and the work of the amazing\\u2026 https://t.co/vaerd0d1wD',,"Toronto, Ontario",,
"b""Coffee fixes everything.\\nStill doesn't work?\\nAdd another cup \\U0001f609\\u2714\\ufe0f\\n\\n\\U0001f4f8@4OliviaSavage\\n#coffeelover #coffeeaddict\\u2026 https://t.co/szIiW8a35W""","coffeelover,coffeeaddict","Toronto, Ontario",,
"b'#yegtransit Safety mechanism wud have prevented is NOT assurance,it\\u2019s guess work!From past to present council,this\\u2026 https://t.co/J6Kby3u2sE'",yegtransit,"Edmonton, Alberta",,
b'to the Starbucks i\\u2019m chilling in right now playing Maggie Rogers: i\\u2019ve never felt more seen. thank you. this is what true representation is',,"Edmonton, Alberta",,
"b'@wokeimperialist @neuroghast i dont think vincent is a very good song to listen to for working out, not all that motivational lol'",,"St. Catharines, Ontario",,
"b'My kingdom for a Price-for-Rinne swap, just so we could watch hockey Twitter melt. https://t.co/SQyeqK3CNo'",,"Edmonton, Alberta",,
"b'Want to work in #Edmundston, NB? View our latest opening: https://t.co/DnPppxV7Uf #Transportation #Veterans #Job #Jobs #Hiring #CareerArc'","Edmundston,Transportation,Veterans,Job,Jobs,Hiring,CareerArc","Edmundston, New Brunswick",,
"b""If you're looking for work in #Winnipeg, MB, check out this #job: https://t.co/ods74K3kK3 #Retail #Hiring #CareerArc""","Winnipeg,job,Retail,Hiring,CareerArc","Winnipeg, Manitoba",,
"b'New found obsession of binge watching Friends, send help'",,"North Stormont, Ontario",,
b'First off where the fuck are the employees working(inside job)second the fat chick gets credit for squeezing throug\\u2026 https://t.co/LMluWu6U35',,"Montr̩al, Qu̩bec",,
"b""Art Stream is is live til 4:30! https://t.co/1hNZXe40mY I'll be working on my smash pins today :)\\u2026 https://t.co/R1QGmRVnam""",,"Vancouver, British Columbia",,
b'am i the only one that\\u2019s never watched stranger things &amp,doesn\\u2019t care to',,,
"b""Another work week done and you deserve a $50 @moxies_barrie Gift Card. Name today's #BlastFromThePast @ 4pm w/\\u2026 https://t.co/pQZXMnKbnV""",BlastFromThePast,"Barrie, Ontario",,
b'Want to work in #Canada? View our latest opening: https://t.co/bgCWiFXAsz #ProductMgmt #Job #Jobs #Hiring #CareerArc',"Canada,ProductMgmt,Job,Jobs,Hiring,CareerArc","Division No. 18, Unorganized, Saskatchewan",,
b'A shout out to the amazing volunteers @DFSVancouver and all their hard work for the #successluncheon\\u2026 https://t.co/ZLX7dplr7m',successluncheon,"Vancouver, British Columbia",,
"b'Want to work in #Moncton, NB? View our latest opening: https://t.co/OnLYpJ7WAu #Labor #Job #Jobs #Hiring #CareerArc'","Moncton,Labor,Job,Jobs,Hiring,CareerArc","Moncton, New Brunswick",,
"b""Day and night it's work work work drive work drive work... but today is rest day!! Binge\\u2026 https://t.co/0Mn0yrCwMQ""",,"Halifax, Nova Scotia",,
b'@capturedchristy working her magic once again! Can\\u2019t wait for the final product!! \\U0001f4f8\\u2026 https://t.co/RpZzFlUH3S',,"Portugal Cove-St. Philip's, Newfoundland and Labrador",,
"b'Want to work in #Markham, ON? View our latest opening: https://t.co/YSzAkXXMHY #Hospitality #Job #Jobs #Hiring #CareerArc'","Markham,Hospitality,Job,Jobs,Hiring,CareerArc","Markham, Ontario",,
b'In the first hour of work I\\u2019ve served like 100 people. \\U0001f635',,"Belleville, Ontario",,
"b'@PaulMalignaggi &gt; @TheNotoriousMMA thinks going 44-8 in patty-cake land is something. MMA is real work, son'",,"Toronto, Ontario",,
"b'Want to work in #Calgary, AB? View our latest opening: https://t.co/EP8nKIvHWa #HR #Job #Jobs #Hiring #CareerArc'","Calgary,HR,Job,Jobs,Hiring,CareerArc","Calgary, Alberta",,
b'I think that list also works as bullet points\\n\\n- Ozzy Osbourne\\n- cassette tape\\n- Teddy Ruxpin https://t.co/lVzPnIs4J2',,"Waterfront Communities-The Island, Toronto",,
"b'@WyrdfellVyre @SuuperBlah Do you no think the ""whining"" is justified. USUM are lazy filler games made to fill the g\\u2026 https://t.co/zNwrWeLRHB'",,"Toronto, Ontario",,
"b""Want to work at Starbucks? We're #hiring in #langley! Click for details: https://t.co/b6gpGLD9ev #CustomerService #Job #Jobs #CareerArc""","hiring,langley,CustomerService,Job,Jobs,CareerArc","Langley, British Columbia",,
b'@dispregio now watch me whip\\n\\nwatch me nae nae',,"Brampton, Ontario",,
b'\\u270c\\ufe0fWorking on more cityline goodness!\\U0001f601 Keep it locked!! A major holiday episode is in the works\\u2026 https://t.co/5U9EwGJHbv',,"Toronto, Ontario",,
"b""For all that have asked where you can watch Damnation (the new tv series I'm in) it's on https://t.co/CvngyRN3BE.\\u2026 https://t.co/6hTbkh2ihj""",,"Banff, Alberta",,
b'@NHLJets - So my friend Ada posted this pic! Morrissey &amp,Trouba watching the video of Dale Hawerchuk at last nigh\\u2026 https://t.co/p4X4fbRBJo',,,
"b'@JocelynStenger @GCarabine #ableg on sat am to take my boys to hockey because THEY love it. I love watching them,\\u2026 https://t.co/UHuWYwHqwP'",ableg,"Edmonton, Alberta",,
"b'Want to work in #Edmonton, AB? View our latest opening: https://t.co/h0bHfA3ckW #Seasonal #Job #Jobs #Hiring #CareerArc'","Edmonton,Seasonal,Job,Jobs,Hiring,CareerArc","Edmonton, Alberta",,
b'@FANderWaalNews @GraceVanderWaal @imJQ @BlytheThomas From my heart to all of yours..Thank You! You all worked hard\\u2026 https://t.co/kP9bJ3aFqq',,"Thompson-Nicola M, British Columbia",,
b'Okay so that was a bust. I just wanna watch the BBC special dammit',,"Vaughan, Ontario",,
"b""Can't wait 2 watch @calstampeders play tonight! Excited for @buckley_hot8\\nEveryone loves the back-up, especially when he's a gr8 guy! #cfl""",cfl,"Calgary, Alberta",,
b'@KeithOlbermann great seeing you on The View...a show that I rarely watch. I agree that #Trump is fucking crazy...',Trump,"Toronto, Ontario",,
b'@ResultsJunkie @bumblebike @ToferC Hope the bike is still working!',,"Ottawa, Ontario",,
b'Fuck. A little shaken. CW. Dropped my partner at work and someone right outside was run over by a dump truck',,"Montr̩al, Qu̩bec",,
b'What a cute little cozy spot. \\nAnyone else ready for chilly cozy evenings? #winteriscoming @\\u2026 https://t.co/wsEC7ySdrO',winteriscoming,"Milton, Ontario",,
b'Perks of working for AC! Thanks @LiveKellyRyan https://t.co/EM5mUTNgMB see 12m. 35s. / Avantages de travailler pour\\u2026 https://t.co/mTiaAkviL5',,"Mississauga, Ontario",,
b'.@NSCADUniversity President Dr. Dianne Taylor-Gearing recognizes @SSHRC_CRSH funding and the work with refugees tha\\u2026 https://t.co/FF1webrXc4',,"Halifax, Nova Scotia",,
b'Nothing like watching the Roy Halladay memorial highlights and bawling first thing in the morning #RipDocHalladay',RipDocHalladay,"Lloydminster (Part), Saskatchewan",,
"b""Future of work? We need a different organizational context. Evaluate your company's why (org purpose), how (collabo\\u2026 https://t.co/NxjEkJykM4""",,"Toronto, Ontario",,
"b""If you're looking for work in #NorthBay, ON, check out this #job: https://t.co/2Zf8JobY6c #Seasonal #Hiring #CareerArc""","NorthBay,job,Seasonal,Hiring,CareerArc","North Bay, Ontario",,
"b'Want to work in #Toronto, ON? View our latest opening: https://t.co/VkgGB6VvEL #CustomerService #Job #Jobs #Hiring #CareerArc'","Toronto,CustomerService,Job,Jobs,Hiring,CareerArc","Toronto, Ontario",,
"b""What if lower for longer turns in to lower forever on oil prices? #qec projects work at today's prices. The Albert\\u2026 https://t.co/EEsOnuQqxm""",qec,"Calgary, Alberta",,
b'Anyone want my remaining 3 games ( 4 seats #GoBills season tickets in the lower bowl ) \\U0001f3c8 I\\u2019m giving them away...jus\\u2026 https://t.co/0Cw09cSNzK',GoBills,"Montr̩al, Qu̩bec",,
"b""Excited to visit my friends at Lola Hair Salon tonight to deliver a #socialmedia workshop. They're my fav salon in\\u2026 https://t.co/hoVJyGIDs4""",socialmedia,"Toronto, Ontario",,
"b""@WindsweptCoast REALLY??! OMG NO. I mean, for his work vehicle 'Rig' would fit, but for the home vehicles too?""",,"Halifax, Nova Scotia",,
b'Anyone want my remaining 3 games ( 4 seats #GoBills\\xa0 season tickets in the lower bowl ) \\U0001f3c8 I\\u2019m giving them away...ju\\u2026 https://t.co/x46Tw58xeY',GoBills,"Montr̩al, Qu̩bec",,
b'@ServiceOntario I did online. But it was not working. I will try again.',,"Markham, Ontario",,
"b'""Repentance""\\nPasteur Doug Batchelor\\n\\nhttps://t.co/zH0BIe7Zdz \\nSHARE, work for JESUS ,friend'",,Canada,,
